total_posts,helpful_post,nice_code_post,collaborative_post,confused_post,creative_post,bad_post,amazing_post,timeonline,Approved
4.0,1.0,3.0,3.0,0.0,10.0,0.0,11.0,9601.0,1
7.0,9.0,16.0,35.0,0.0,27.0,0.0,27.0,18510.0,1
6.0,5.0,1.0,13.0,0.0,18.0,0.0,26.0,13084.0,1
2.0,1.0,2.0,4.0,0.0,9.0,0.0,9.0,1351.0,0
8.0,6.0,16.0,17.0,0.0,15.0,0.0,24.0,11239.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,3.0,4.0,11.0,0.0,17.0,0.0,25.0,7664.0,0
8.0,6.0,15.0,13.0,3.0,12.0,1.0,18.0,15354.0,1
2.0,3.0,4.0,1.0,0.0,14.0,0.0,7.0,32098.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,0.0,2.0,2.0,0.0,3.0,0.0,10.0,2581.0,0
6.0,1.0,14.0,19.0,0.0,26.0,0.0,25.0,12576.0,1
4.0,2.0,1.0,7.0,0.0,8.0,0.0,17.0,2995.0,1
4.0,1.0,3.0,7.0,0.0,17.0,0.0,8.0,2042.0,1
8.0,4.0,19.0,8.0,0.0,26.0,0.0,25.0,3377.0,1
3.0,5.0,6.0,11.0,0.0,19.0,0.0,16.0,13037.0,1
5.0,5.0,11.0,12.0,0.0,14.0,0.0,21.0,15228.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,3.0,2.0,4.0,0.0,7.0,0.0,7.0,1835.0,0
5.0,5.0,0.0,12.0,5.0,11.0,0.0,12.0,18545.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,12.0,39.0,22.0,2.0,45.0,0.0,28.0,18955.0,1
3.0,0.0,0.0,4.0,0.0,11.0,0.0,7.0,2944.0,1
1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,4271.0,0
8.0,6.0,2.0,11.0,0.0,24.0,0.0,18.0,7568.0,1
7.0,6.0,9.0,19.0,0.0,32.0,0.0,28.0,16395.0,1
46.0,53.0,90.0,89.0,3.0,150.0,0.0,155.0,39314.0,1
6.0,5.0,14.0,16.0,5.0,24.0,0.0,22.0,13221.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,0
2.0,2.0,2.0,2.0,0.0,7.0,0.0,9.0,2100.0,0
5.0,8.0,9.0,19.0,2.0,22.0,0.0,17.0,6826.0,1
